"","state","code","pop_2014","date","fips","cases","deaths"
"45379","South Carolina","SC",4832482,"2021-12-30",45,966259,14617
"45380","South Carolina","SC",4832482,"2020-09-04",45,123325,2846
"45381","South Carolina","SC",4832482,"2022-09-10",45,1687640,18299
"45382","South Carolina","SC",4832482,"2021-07-20",45,603973,9860
"45383","South Carolina","SC",4832482,"2021-12-15",45,933754,14431
"45384","South Carolina","SC",4832482,"2021-12-28",45,944574,14550
"45385","South Carolina","SC",4832482,"2021-07-26",45,610477,9882
"45386","South Carolina","SC",4832482,"2022-04-09",45,1469706,17650
"45387","South Carolina","SC",4832482,"2022-02-18",45,1449637,16533
"45388","South Carolina","SC",4832482,"2021-09-06",45,769402,10945
"45389","South Carolina","SC",4832482,"2020-05-22",45,9638,419
"45390","South Carolina","SC",4832482,"2022-02-08",45,1423919,15986
"45391","South Carolina","SC",4832482,"2020-12-15",45,257320,4756
"45392","South Carolina","SC",4832482,"2023-02-22",45,1827620,19938
"45393","South Carolina","SC",4832482,"2022-06-11",45,1514423,17970
"45394","South Carolina","SC",4832482,"2022-04-30",45,1474272,17767
"45395","South Carolina","SC",4832482,"2022-12-14",45,1751646,19346
"45396","South Carolina","SC",4832482,"2020-10-26",45,171501,3823
